"dato","fangst_i_kg"
"2013-01-02","51137"
"2013-01-03","63370"
"2013-01-04","111289"
"2013-01-05","72832"
"2013-01-06","28929"
"2013-01-07","208674"
"2013-01-08","58826"
"2013-01-09","39391"
"2013-01-10","117916"
"2013-01-11","141315"
"2013-01-12","157793"
"2013-01-13","87401"
"2013-01-14","479504"
"2013-01-15","409747"
"2013-01-16","1277846"
"2013-01-17","151006"
"2013-01-18","68106"
"2013-01-19","128639"
"2013-01-20","250139"
"2013-01-21","253171"
"2013-01-22","30920"
"2013-01-23","688964"
"2013-01-24","459861"
"2013-01-25","1280000"
"2013-01-26","989808"
"2013-01-27","542629"
"2013-01-28","761545"
"2013-01-29","852980"
"2013-01-30","1384644"
"2013-01-31","1119862"
"2013-02-01","902003"
"2013-02-02","352098"
"2013-02-03","244796"
"2013-02-04","1531474"
"2013-02-05","1112190"
"2013-02-06","2405495"
"2013-02-07","851239"
"2013-02-08","1362782"
"2013-02-09","259710"
"2013-02-10","85246"
"2013-02-11","942440"
"2013-02-12","955591"
"2013-02-13","969048"
"2013-02-14","778304"
"2013-02-15","743514"
"2013-02-16","220863"
"2013-02-17","159868"
"2013-02-18","1081764"
"2013-02-19","905856"
"2013-02-20","579650"
"2013-02-21","578296"
"2013-02-22","776178"
"2013-02-23","282337"
"2013-02-24","172146"
"2013-02-25","98598"
"2013-02-26","177287"
"2013-02-27","197999"
"2013-02-28","1095401"
"2013-03-01","571037"
"2013-03-02","601526"
"2013-03-03","355452"
"2013-03-04","865739"
"2013-03-05","637727"
"2013-03-06","1434217"
"2013-03-07","118928"
"2013-03-08","616022"
"2013-03-09","645326"
"2013-03-10","135073"
"2013-03-11","783586"
"2013-03-12","780090"
"2013-03-13","837127"
"2013-03-14","808999"
"2013-03-15","817439"
"2013-03-16","255499"
"2013-03-17","152360"
"2013-03-18","641889"
"2013-03-19","844090"
"2013-03-20","721358"
"2013-03-21","438006"
"2013-03-22","738605"
"2013-03-23","233758"
"2013-03-24","133650"
"2013-03-25","631659"
"2013-03-26","90059"
"2013-03-27","75608"
"2013-03-28","3284"
"2013-03-29","5276"
"2013-03-30","5003"
"2013-03-31","7160"
"2013-04-01","57304"
"2013-04-02","64976"
"2013-04-03","1577040"
"2013-04-04","321584"
"2013-04-05","791529"
"2013-04-06","209548"
"2013-04-07","136581"
"2013-04-08","309466"
"2013-04-09","530280"
"2013-04-10","144799"
"2013-04-11","316691"
"2013-04-12","220057"
"2013-04-13","178604"
"2013-04-14","77894"
"2013-04-15","428380"
"2013-04-16","646116"
"2013-04-17","108476"
"2013-04-18","218496"
"2013-04-19","140795"
"2013-04-22","59504"
"2013-04-23","162908"
"2013-04-24","34338"
"2013-04-25","57695"
"2013-04-26","62095"
"2013-04-27","249457"
"2013-04-28","3309"
"2013-04-29","86494"
"2013-04-30","42834"
"2013-05-01","186747"
"2013-05-02","34238"
"2013-05-03","31463"
"2013-05-04","9341"
"2013-05-05","2548"
"2013-05-06","17771"
"2013-05-07","657"
"2013-05-08","4082"
"2013-05-09","5105"
"2013-05-10","28510"
"2013-05-11","5646"
"2013-05-12","2538"
"2013-05-13","189279"
"2013-05-14","11193"
"2013-05-15","9728"
"2013-05-16","7481"
"2013-05-17","1628"
"2013-05-18","3423"
"2013-05-19","982"
"2013-05-20","3145"
"2013-05-21","121303"
"2013-05-22","12197"
"2013-05-23","10836"
"2013-05-24","8365"
"2013-05-25","7187"
"2013-05-26","204835"
"2013-05-27","87713"
"2013-05-28","5655"
"2013-05-29","4041"
"2013-05-30","5810"
"2013-05-31","5985"
"2013-06-01","4331"
